Ref;Val;Package;PosX;PosY;Rot;Side
"C1";"0,1uF";"C_0805_2012Metric";60,071200;59,042800;90,000000;bottom
"C2";"0,22uF";"C_0805_2012Metric";45,542400;58,920800;-90,000000;bottom
"C3";"0,1uF";"C_0805_2012Metric";37,973200;94,226800;-90,000000;bottom
"C6";"0,22uF";"C_0805_2012Metric";53,086200;94,338600;90,000000;bottom
"C10";"0,1uF";"C_0805_2012Metric";37,880800;80,444800;-90,000000;bottom
"C11";"0,1uF";"C_0805_2012Metric";37,880800;88,699800;-90,000000;bottom
"C13";"0,22uF";"C_0805_2012Metric";60,426800;80,571800;90,000000;bottom
"C14";"0,22uF";"C_0805_2012Metric";54,782800;88,636900;90,000000;bottom
"C18";"0,1uF";"C_0805_2012Metric";21,564800;43,614800;180,000000;bottom
"Q1";"2N7002";"SOT-23";11,785800;81,968800;180,000000;bottom
"Q2";"2N7002";"SOT-23";11,785800;62,829300;180,000000;bottom
"Q3";"2N7002";"SOT-23";11,785800;75,618800;180,000000;bottom
"Q4";"2N7002";"SOT-23";11,785800;95,176800;180,000000;bottom
"R28";"10k";"R_0805_2012Metric";5,308800;62,768300;90,000000;bottom
"R31";"47K";"R_0805_2012Metric";45,644000;94,365900;90,000000;bottom
"R35";"5,1K";"R_0805_2012Metric";43,201100;80,571800;-90,000000;bottom
"R36";"5,1K";"R_0805_2012Metric";43,154800;88,699800;-90,000000;bottom
"R39";"47K";"R_0805_2012Metric";48,996800;80,571800;90,000000;bottom
"R40";"47K";"R_0805_2012Metric";49,138800;88,674400;90,000000;bottom
"R41";"47K";"R_0805_2012Metric";52,044800;59,009100;-90,000000;bottom
"R42";"100K";"R_0805_2012Metric";37,058800;58,956400;-90,000000;bottom
"R44";"10k";"R_0805_2012Metric";5,308800;81,968800;-90,000000;bottom
"R47";"1k";"R_0805_2012Metric";23,723800;95,147600;-90,000000;bottom
"R48";"100K";"R_0805_2012Metric";60,528400;94,365900;90,000000;bottom
"R49";"100K";"R_0805_2012Metric";54,711800;80,543200;90,000000;bottom
"R50";"100K";"R_0805_2012Metric";60,426800;88,572800;90,000000;bottom
"R58";"100k";"R_0805_2012Metric";18,694600;95,176800;-90,000000;bottom
"R59";"1k";"R_0805_2012Metric";23,723800;75,999800;-90,000000;bottom
"R60";"1k";"R_0805_2012Metric";23,723800;81,968800;-90,000000;bottom
"R61";"100k";"R_0805_2012Metric";18,643800;75,999800;-90,000000;bottom
"R67";"100k";"R_0805_2012Metric";18,669200;81,994200;-90,000000;bottom
"R68";"1k";"R_0805_2012Metric";23,723800;62,895300;-90,000000;bottom
"R69";"100k";"R_0805_2012Metric";18,643800;62,895300;-90,000000;bottom
"C4";"0,1uF";"C_0805_2012Metric";49,250800;84,508800;-90,000000;top
"C5";"0,1uF";"C_0805_2012Metric";60,045800;63,934800;90,000000;top
"C7";"0,22uF";"C_0805_2012Metric";37,880800;84,488800;90,000000;top
"C8";"470pf";"C_0805_2012Metric";57,281800;104,701800;90,000000;top
"C9";"0,1uF";"C_0805_2012Metric";44,170800;98,351800;90,000000;top
"C12";"0,22uF";"C_0805_2012Metric";41,376800;104,193800;90,000000;top
"C16";"0,1uF";"C_0805_2012Metric";89,890800;98,986800;180,000000;top
"C17";"10uF";"CP_EIA-7343-31_Kemet-D";26,848000;37,595000;0,000000;top
"C19";"0,01uF";"C_0805_2012Metric";83,667800;90,096800;180,000000;top
"C20";"0,1uF";"C_0805_2012Metric";17,053800;58,473800;0,000000;top
"C21";"47uF";"CP_Elec_6,3x5,4";18,262800;24,056800;0,000000;top
